ID,Area,Header,Group,Description,Value
0,0.Identification,Unique Form ID,N/A,Unique Identifier to this form,
1,0.Preliminary,Organization,N/A,Organization,Acutec
2,0.Preliminary,Customer,N/A,Customer,0
3,0.Preliminary,ACUTEC Notification #,N/A,ACUTEC Notification #,0
4,0.Preliminary,Customer's Complaint #,N/A,Customer's Complaint #,N/A
5,0.Preliminary,ACUTEC Part/Material# or Process,N/A,ACUTEC Part/Material# or Process,0
6,0.Preliminary,Customer's Part/Material #,N/A,Customer's Part/Material #,0
7,0.Preliminary,ACUTEC Lot # or Batch #,N/A,ACUTEC Lot # or Batch #,0
8,0.Preliminary,"Affected Serial #s, if applicable",N/A,"Affected Serial #s, if applicable",N/A
9,0.Preliminary,Date of Occurrence/Complaint,N/A,Date of Occurrence/Complaint,1/0/1900
10,0.Preliminary,Required Response Date,N/A,Required Response Date,1/0/1900
11,0.Preliminary,Revised CA Response Date,N/A,Revised CA Response Date,1/0/1900
12,0.Preliminary,Purchase Order/Work Order #,N/A,Purchase Order/Work Order #,1/0/1900
13,0.Preliminary,Quantity Rejected,N/A,Quantity Rejected,1/0/1900
14,0.Preliminary,Cure Date,N/A,Cure Date,N/A
15,1.Define the problem,IS Complete,N/A,IS Complete,FALSE
16,1.Define the problem,IS N/A,N/A,IS N/A,FALSE
17,1.Define the problem,Project Title/Theme,N/A,Project Title/Theme,0
18,1.Define the problem,Clarify the Problem,N/A,Where was the nonconformance discovered?,
19,1.Define the problem,Historical Data,N/A,Is this a repeat issue?,
20,1.Define the problem,Describe the Problem,N/A,Requirement,0
21,1.Define the problem,Describe the Problem,N/A,Nonconformance,0
22,1.Define the problem,Describe the Problem,N/A,Objective Evidence,0
23,2.Identify the team,Name,Team Leader,Name,0
24,2.Identify the team,Title,Team Leader,Title,0
25,2.Identify the team,Organization,Team Leader,Organization,0
26,2.Identify the team,Contact Info,Team Leader,Contact Info,0
27,2.Identify the team,Name,Team Member 1,Name,0
28,2.Identify the team,Title,Team Member 1,Title,0
29,2.Identify the team,Organization,Team Member 1,Organization,0
30,2.Identify the team,Contact Info,Team Member 1,Contact Info,0
31,2.Identify the team,Name,Team Member 2,Name,0
32,2.Identify the team,Title,Team Member 2,Title,0
33,2.Identify the team,Organization,Team Member 2,Organization,0
34,2.Identify the team,Contact Info,Team Member 2,Contact Info,0
35,2.Identify the team,Name,Team Member 3,Name,0
36,2.Identify the team,Title,Team Member 3,Title,0
37,2.Identify the team,Organization,Team Member 3,Organization,0
38,2.Identify the team,Contact Info,Team Member 3,Contact Info,0
39,2.Identify the team,Name,Team Member 4,Name,0
40,2.Identify the team,Title,Team Member 4,Title,0
41,2.Identify the team,Organization,Team Member 4,Organization,0
42,2.Identify the team,Contact Info,Team Member 4,Contact Info,0
43,2.Identify the team,Name,Team Member 5,Name,0
44,2.Identify the team,Title,Team Member 5,Title,0
45,2.Identify the team,Organization,Team Member 5,Organization,0
46,2.Identify the team,Contact Info,Team Member 5,Contact Info,0
47,2.Identify the team,Name,Team Member 6,Name,0
48,2.Identify the team,Title,Team Member 6,Title,0
49,2.Identify the team,Organization,Team Member 6,Organization,0
