ID,Area,Header,Group,Description,Value Type,Value,NC,CPA,Unipoint Schema Name,Blank Test
1,0.Preliminary,Organization,N/A,Organization,String,Acutec,FALSE,FALSE,0,Null
2,0.Preliminary,Customer,N/A,Customer,String,0,TRUE,FALSE,CUSTOMER,Null
3,0.Preliminary,ACUTEC Notification #,N/A,ACUTEC Notification #,String,0,FALSE,FALSE,0,Null
4,0.Preliminary,Customer's Complaint #,N/A,Customer's Complaint #,String,0,FALSE,FALSE,0,Null
5,0.Preliminary,ACUTEC Part/Material# or Process,N/A,ACUTEC Part/Material# or Process,String,0,TRUE,FALSE,MATERIAL,Null
6,0.Preliminary,Customer's Part/Material #,N/A,Customer's Part/Material #,String,0,FALSE,FALSE,0,Null
7,0.Preliminary,ACUTEC Lot # or Batch #,N/A,ACUTEC Lot # or Batch #,String,0,TRUE,FALSE,LOT,Null
8,0.Preliminary,"Affected Serial #s, if applicable",N/A,"Affected Serial #s, if applicable",String,0,TRUE,FALSE,SERIAL,Null
9,0.Preliminary,Date of Occurrence/Complaint,N/A,Date of Occurrence/Complaint,Date,1/0/1900,TRUE,FALSE,NCR_DATE,Null
10,0.Preliminary,Required Response Date,N/A,Required Response Date,Date,1/0/1900,TRUE,FALSE,DUE_DATE,Null
11,0.Preliminary,Revised CA Response Date,N/A,Revised CA Response Date,Date,1/0/1900,FALSE,TRUE,CPA_DATE,Null
12,0.Preliminary,Purchase Order/Work Order #,N/A,Purchase Order/Work Order #,Date,1/0/1900,TRUE,FALSE,CUSTOMER_PO,Null
13,0.Preliminary,Quantity Rejected,N/A,Quantity Rejected,Integer,0,TRUE,FALSE,QTY_REJECTED,Null
14,0.Preliminary,Cure Date,N/A,Cure Date,Date,1/0/1900,FALSE,FALSE,0,Null
15,1.Define the problem,IS Complete,N/A,IS Complete,Boolean,FALSE,FALSE,FALSE,0,Null
16,1.Define the problem,IS N/A,N/A,IS N/A,Boolean,FALSE,FALSE,FALSE,0,Null
17,1.Define the problem,Project Title/Theme,N/A,Project Title/Theme,String,0,TRUE,FALSE,DESCRIPTION,Null
18,1.Define the problem,Clarify the Problem,N/A,Where was the nonconformance discovered?,String,ACUTEC Internal ,FALSE,FALSE,0,Null
19,1.Define the problem,Historical Data,N/A,Is this a repeat issue?,String,No,FALSE,FALSE,0,Null
20,1.Define the problem,Describe the Problem,N/A,Requirement,String,0,FALSE,FALSE,0,Null
21,1.Define the problem,Describe the Problem,N/A,Nonconformance,String,0,FALSE,FALSE,0,Null
22,1.Define the problem,Describe the Problem,N/A,Objective Evidence,String,0,FALSE,FALSE,0,Null
23,2.Identify the team,Name,Team Leader,Name,String,0,FALSE,FALSE,0,Null
24,2.Identify the team,Title,Team Leader,Title,String,0,FALSE,FALSE,0,Null
25,2.Identify the team,Organization,Team Leader,Organization,String,0,FALSE,FALSE,0,Null
26,2.Identify the team,Contact Info,Team Leader,Contact Info,String,0,FALSE,FALSE,0,Null
27,2.Identify the team,Name,Team Member 1,Name,String,0,FALSE,FALSE,0,Null
28,2.Identify the team,Title,Team Member 1,Title,String,0,FALSE,FALSE,0,Null
29,2.Identify the team,Organization,Team Member 1,Organization,String,0,FALSE,FALSE,0,Null
30,2.Identify the team,Contact Info,Team Member 1,Contact Info,String,0,FALSE,FALSE,0,Null
31,2.Identify the team,Name,Team Member 2,Name,String,0,FALSE,FALSE,0,Null
32,2.Identify the team,Title,Team Member 2,Title,String,0,FALSE,FALSE,0,Null
33,2.Identify the team,Organization,Team Member 2,Organization,String,0,FALSE,FALSE,0,Null
34,2.Identify the team,Contact Info,Team Member 2,Contact Info,String,0,FALSE,FALSE,0,Null
35,2.Identify the team,Name,Team Member 3,Name,String,0,FALSE,FALSE,0,Null
36,2.Identify the team,Title,Team Member 3,Title,String,0,FALSE,FALSE,0,Null
37,2.Identify the team,Organization,Team Member 3,Organization,String,0,FALSE,FALSE,0,Null
38,2.Identify the team,Contact Info,Team Member 3,Contact Info,String,0,FALSE,FALSE,0,Null
39,2.Identify the team,Name,Team Member 4,Name,String,0,FALSE,FALSE,0,Null
40,2.Identify the team,Title,Team Member 4,Title,String,0,FALSE,FALSE,0,Null
41,2.Identify the team,Organization,Team Member 4,Organization,String,0,FALSE,FALSE,0,Null
42,2.Identify the team,Contact Info,Team Member 4,Contact Info,String,0,FALSE,FALSE,0,Null
43,2.Identify the team,Name,Team Member 5,Name,String,0,FALSE,FALSE,0,Null
44,2.Identify the team,Title,Team Member 5,Title,String,0,FALSE,FALSE,0,Null
45,2.Identify the team,Organization,Team Member 5,Organization,String,0,FALSE,FALSE,0,Null
46,2.Identify the team,Contact Info,Team Member 5,Contact Info,String,0,FALSE,FALSE,0,Null
47,2.Identify the team,Name,Team Member 6,Name,String,0,FALSE,FALSE,0,Null
48,2.Identify the team,Title,Team Member 6,Title,String,0,FALSE,FALSE,0,Null
49,2.Identify the team,Organization,Team Member 6,Organization,String,0,FALSE,FALSE,0,Null
50,2.Identify the team,Contact Info,Team Member 6,Contact Info,String,0,FALSE,FALSE,0,Null
51,2.Identify the team,Name,Team Member 7,Name,String,0,FALSE,FALSE,0,Null
52,2.Identify the team,Title,Team Member 7,Title,String,0,FALSE,FALSE,0,Null
53,2.Identify the team,Organization,Team Member 7,Organization,String,0,FALSE,FALSE,0,Null
54,2.Identify the team,Contact Info,Team Member 7,Contact Info,String,0,FALSE,FALSE,0,Null
55,2.Identify the team,Name,Team Member 8,Name,String,0,FALSE,FALSE,0,Null
56,2.Identify the team,Title,Team Member 8,Title,String,0,FALSE,FALSE,0,Null
57,2.Identify the team,Organization,Team Member 8,Organization,String,0,FALSE,FALSE,0,Null
58,2.Identify the team,Contact Info,Team Member 8,Contact Info,String,0,FALSE,FALSE,0,Null
59,2.Identify the team,Name,Team Member 9,Name,String,0,FALSE,FALSE,0,Null
60,2.Identify the team,Title,Team Member 9,Title,String,0,FALSE,FALSE,0,Null
61,2.Identify the team,Organization,Team Member 9,Organization,String,0,FALSE,FALSE,0,Null
62,2.Identify the team,Contact Info,Team Member 9,Contact Info,String,0,FALSE,FALSE,0,Null
63,2.Identify the team,Name,Team Member 10,Name,String,0,FALSE,FALSE,0,Null
64,2.Identify the team,Title,Team Member 10,Title,String,0,FALSE,FALSE,0,Null
65,2.Identify the team,Organization,Team Member 10,Organization,String,0,FALSE,FALSE,0,Null
66,2.Identify the team,Contact Info,Team Member 10,Contact Info,String,0,FALSE,FALSE,0,Null
67,2.Identify the team,Name,Team Member 11,Name,String,0,FALSE,FALSE,0,Null
68,2.Identify the team,Title,Team Member 11,Title,String,0,FALSE,FALSE,0,Null
69,2.Identify the team,Organization,Team Member 11,Organization,String,0,FALSE,FALSE,0,Null
70,2.Identify the team,Contact Info,Team Member 11,Contact Info,String,0,FALSE,FALSE,0,Null
71,2.Identify the team,Name,Team Member 12,Name,String,0,FALSE,FALSE,0,Null
72,2.Identify the team,Title,Team Member 12,Title,String,0,FALSE,FALSE,0,Null
73,2.Identify the team,Organization,Team Member 12,Organization,String,0,FALSE,FALSE,0,Null
74,2.Identify the team,Contact Info,Team Member 12,Contact Info,String,0,FALSE,FALSE,0,Null
75,2.Identify the team,Name,Team Member 13,Name,String,0,FALSE,FALSE,0,Null
76,2.Identify the team,Title,Team Member 13,Title,String,0,FALSE,FALSE,0,Null
77,2.Identify the team,Organization,Team Member 13,Organization,String,0,FALSE,FALSE,0,Null
78,2.Identify the team,Contact Info,Team Member 13,Contact Info,String,0,FALSE,FALSE,0,Null
79,2.Identify the team,Name,Team Member 14,Name,String,0,FALSE,FALSE,0,Null
80,2.Identify the team,Title,Team Member 14,Title,String,0,FALSE,FALSE,0,Null
81,2.Identify the team,Organization,Team Member 14,Organization,String,0,FALSE,FALSE,0,Null
82,2.Identify the team,Contact Info,Team Member 14,Contact Info,String,0,FALSE,FALSE,0,Null
83,3.Containment and Immediate Action,Details of Containment Action Taken,At Customer,Details,String,0,FALSE,FALSE,0,Null
84,3.Containment and Immediate Action,Details of Containment Action Taken,Acutec WIP,Details,String,0,FALSE,FALSE,0,Null
85,3.Containment and Immediate Action,Details of Containment Action Taken,Acutec Stock,Details,String,0,FALSE,FALSE,0,Null
86,3.Containment and Immediate Action,Details of Containment Action Taken,At Supplier,Details,String,0,FALSE,FALSE,0,Null
87,3.Containment and Immediate Action,Details of Containment Action Taken,In Transit,Details,String,0,FALSE,FALSE,0,Null
88,3.Containment and Immediate Action,Details of Containment Action Taken,Consignment,Details,String,0,FALSE,FALSE,0,Null
89,3.Containment and Immediate Action,Details of Containment Action Taken,Distributor,Details,String,0,FALSE,FALSE,0,Null
90,3.Containment and Immediate Action,Details of Containment Action Taken,Enter Location,Details,String,0,FALSE,FALSE,0,Null
91,3.Containment and Immediate Action,Details of Containment Action Taken,Enter Location,Details,String,0,FALSE,FALSE,0,Null
92,3.Containment and Immediate Action,Details of Containment Action Taken,Enter Location,Details,String,0,FALSE,FALSE,0,Null
93,3.Containment and Immediate Action,Details of Containment Action Taken,Enter Location,Details,String,0,FALSE,FALSE,0,Null
94,3.Containment and Immediate Action,Potential Areas Affected,At Customer,Yes,Boolean,FALSE,FALSE,FALSE,0,Null
95,3.Containment and Immediate Action,Potential Areas Affected,Acutec WIP,Yes,Boolean,FALSE,FALSE,FALSE,0,Null
96,3.Containment and Immediate Action,Potential Areas Affected,Acutec Stock,Yes,Boolean,FALSE,FALSE,FALSE,0,Null
97,3.Containment and Immediate Action,Potential Areas Affected,At Supplier,Yes,Boolean,FALSE,FALSE,FALSE,0,Null
98,3.Containment and Immediate Action,Potential Areas Affected,In Transit,Yes,Boolean,FALSE,FALSE,FALSE,0,Null
99,3.Containment and Immediate Action,Potential Areas Affected,Consignment,Yes,Boolean,FALSE,FALSE,FALSE,0,Null
100,3.Containment and Immediate Action,Potential Areas Affected,Distributor,Yes,Boolean,FALSE,FALSE,FALSE,0,Null
101,3.Containment and Immediate Action,Potential Areas Affected,Enter Location,Yes,Boolean,FALSE,FALSE,FALSE,0,Null
102,3.Containment and Immediate Action,Potential Areas Affected,Enter Location,Yes,Boolean,FALSE,FALSE,FALSE,0,Null
103,3.Containment and Immediate Action,Potential Areas Affected,Enter Location,Yes,Boolean,FALSE,FALSE,FALSE,0,Null
104,3.Containment and Immediate Action,Potential Areas Affected,Enter Location,Yes,Boolean,FALSE,FALSE,FALSE,0,Null
105,3.Containment and Immediate Action,Potential Areas Affected,At Customer,No,Boolean,FALSE,FALSE,FALSE,0,Null
106,3.Containment and Immediate Action,Potential Areas Affected,Acutec WIP,No,Boolean,FALSE,FALSE,FALSE,0,Null
107,3.Containment and Immediate Action,Potential Areas Affected,Acutec Stock,No,Boolean,FALSE,FALSE,FALSE,0,Null
108,3.Containment and Immediate Action,Potential Areas Affected,At Supplier,No,Boolean,FALSE,FALSE,FALSE,0,Null
109,3.Containment and Immediate Action,Potential Areas Affected,In Transit,No,Boolean,FALSE,FALSE,FALSE,0,Null
